Player,Team,Pos,Age,G,MP,Cluster,Archetype
Jaylen Brown,BOS,SF,29,71,2442.4,7,Primary Shot Creators
Jaylen Wells,MEM,SG,22,69,1821.6,4,Low-Usage Role Players
Jaylon Tyson,CLE,SG,23,66,1775.4,4,Low-Usage Role Players
Jerami Grant,POR,PF,31,57,1692.9,2,Perimeter Shooters and Secondary Guards
Jeremiah Fears,NOP,PG,19,82,2115.6,6,Versatile Two-Way Forwards
John Collins,LAC,PF,28,69,1869.9,1,Defensive Rim Protectors
Josh Giddey,CHI,PG,23,54,1733.4,2,Perimeter Shooters and Secondary Guards
Josh Hart,NYK,SF,30,66,1993.2,1,Defensive Rim Protectors
Jrue Holiday,POR,PG,35,53,1558.1999999999998,2,Perimeter Shooters and Secondary Guards
Julian Champagnie,SAS,SF,24,82,2263.2000000000003,4,Low-Usage Role Players
Julius Randle,MIN,PF,31,79,2607,6,Versatile Two-Way Forwards
Jusuf Nurkić,UTA,C,31,41,1082.4,4,Low-Usage Role Players
Karl-Anthony Towns,NYK,C,30,75,2325,3,Interior Bigs
Kawhi Leonard,LAC,SF,34,65,2086.5,7,Primary Shot Creators
Kelly Oubre Jr.,PHI,SF,30,50,1575,4,Low-Usage Role Players
Kevin Durant,HOU,SF,37,78,2839.2,7,Primary Shot Creators
Keyonte George,UTA,PG,22,54,1787.4,2,Perimeter Shooters and Secondary Guards
Kon Knueppel,CHO,SF,20,81,2551.5,2,Perimeter Shooters and Secondary Guards
Kris Dunn,LAC,PG,31,82,2230.4,4,Low-Usage Role Players
Kyle Kuzma,MIL,PF,30,69,1807.8,4,Low-Usage Role Players
Kyshawn George,WAS,SF,22,48,1392,4,Low-Usage Role Players
LaMelo Ball,CHO,PG,24,72,2016,7,Primary Shot Creators
Lauri Markkanen,UTA,PF,28,42,1444.8,2,Perimeter Shooters and Secondary Guards
LeBron James,LAL,SF,41,60,1992,6,Versatile Two-Way Forwards
Luguentz Dort,OKC,SF,26,69,1849.2,4,Low-Usage Role Players
Luka Dončić,LAL,PG,26,64,2291.2,7,Primary Shot Creators
Marcus Smart,LAL,SG,31,62,1767,4,Low-Usage Role Players
Matas Buzelis,CHI,PF,21,77,2248.4,1,Defensive Rim Protectors
Max Christie,DAL,SG,22,77,2240.7000000000003,4,Low-Usage Role Players
Maxime Raynaud,SAC,C,22,74,1961,1,Defensive Rim Protectors
Michael Porter Jr.,BRK,SF,27,52,1690,2,Perimeter Shooters and Secondary Guards
Mikal Bridges,NYK,SF,29,82,2689.6,2,Perimeter Shooters and Secondary Guards
Miles Bridges,CHO,PF,27,77,2387,6,Versatile Two-Way Forwards
Miles McBride,NYK,SG,25,41,1078.3,4,Low-Usage Role Players
Moses Moody,GSW,SG,23,60,1542,4,Low-Usage Role Players
Moussa Diabaté,CHO,C,24,73,1898,1,Defensive Rim Protectors
Myles Turner,MIL,C,29,71,1909.9,1,Defensive Rim Protectors
Naji Marshall,DAL,SF,28,74,2183,6,Versatile Two-Way Forwards
Naz Reid,MIN,C,26,77,2009.7,1,Defensive Rim Protectors
Neemias Queta,BOS,C,26,76,1922.8,1,Defensive Rim Protectors
Nic Claxton,BRK,C,26,69,1918.2,1,Defensive Rim Protectors
Nickeil Alexander-Walker,ATL,SG,27,78,2605.2,7,Primary Shot Creators
Nikola Jokić,DEN,C,30,65,2262,3,Interior Bigs
Nikola Vučević,2TM,C,35,64,1817.6,1,Defensive Rim Protectors
Nique Clifford,SAC,SG,23,75,1882.5,4,Low-Usage Role Players
Noah Clowney,BRK,PF,21,66,1782,4,Low-Usage Role Players
Norman Powell,MIA,SG,32,58,1716.8000000000002,2,Perimeter Shooters and Secondary Guards
OG Anunoby,NYK,PF,28,67,2224.4,2,Perimeter Shooters and Secondary Guards
Onyeka Okongwu,ATL,C,25,74,2294,1,Defensive Rim Protectors
P.J. Washington,DAL,PF,27,56,1736,1,Defensive Rim Protectors
Paolo Banchero,ORL,PF,23,72,2505.6,6,Versatile Two-Way Forwards
Pascal Siakam,IND,PF,31,62,2058.4,6,Versatile Two-Way Forwards
Payton Pritchard,BOS,PG,28,79,2559.6,2,Perimeter Shooters and Secondary Guards
Pelle Larsson,MIA,SG,24,70,1848,4,Low-Usage Role Players
Peyton Watson,DEN,SF,23,54,1598.4,4,Low-Usage Role Players
Quentin Grimes,PHI,SG,25,75,2205,2,Perimeter Shooters and Secondary Guards
RJ Barrett,TOR,SF,25,57,1727.1,2,Perimeter Shooters and Secondary Guards
Reed Sheppard,HOU,SG,21,82,2148.4,2,Perimeter Shooters and Secondary Guards
Royce O'Neale,PHO,SF,32,78,2215.2,4,Low-Usage Role Players
Rudy Gobert,MIN,C,33,76,2378.8,3,Interior Bigs
Rui Hachimura,LAL,PF,27,68,1924.4,4,Low-Usage Role Players
Russell Westbrook,SAC,SF,37,64,1856,2,Perimeter Shooters and Secondary Guards
Ryan Rollins,MIL,PG,23,74,2375.4,6,Versatile Two-Way Forwards
Saddiq Bey,NOP,SF,26,72,2246.4,6,Versatile Two-Way Forwards
Sam Hauser,BOS,PF,28,78,1934.4,4,Low-Usage Role Players
Sam Merrill,CLE,SG,29,52,1378,4,Low-Usage Role Players
Santi Aldama,MEM,PF,25,43,1199.7,4,Low-Usage Role Players
Scottie Barnes,TOR,PF,24,80,2680,3,Interior Bigs
Shaedon Sharpe,POR,SG,22,50,1470,2,Perimeter Shooters and Secondary Guards
Shai Gilgeous-Alexander,OKC,PG,27,68,2257.6000000000004,7,Primary Shot Creators
Stephen Curry,GSW,PG,37,43,1328.7,2,Perimeter Shooters and Secondary Guards
Stephon Castle,SAS,PG,21,68,2040,6,Versatile Two-Way Forwards
Tari Eason,HOU,PF,24,60,1548,4,Low-Usage Role Players
Terance Mann,BRK,SG,29,63,1530.9,4,Low-Usage Role Players
Tim Hardaway Jr.,DEN,SG,33,80,2128,2,Perimeter Shooters and Secondary Guards
Tobias Harris,DET,PF,33,63,1745.1,4,Low-Usage Role Players
Toumani Camara,POR,PF,25,82,2730.6,2,Perimeter Shooters and Secondary Guards
Tre Johnson,WAS,SG,19,60,1446,4,Low-Usage Role Players
Tre Jones,CHI,PG,26,65,1755,4,Low-Usage Role Players
Trey Murphy III,NOP,SF,25,66,2343,2,Perimeter Shooters and Secondary Guards
Tristan Da Silva,ORL,SF,24,77,1901.9,4,Low-Usage Role Players
Tyrese Maxey,PHI,PG,25,70,2660,7,Primary Shot Creators
VJ Edgecombe,PHI,SG,20,75,2625,6,Versatile Two-Way Forwards
Victor Wembanyama,SAS,C,22,64,1868.8,3,Interior Bigs
Wendell Carter Jr.,ORL,C,26,78,2285.4,1,Defensive Rim Protectors
Zion Williamson,NOP,PF,25,62,1841.4,6,Versatile Two-Way Forwards
