Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Jrue Holiday,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,TOV up 1.24 z; BLK down 0.72 z; AST up 0.58 z; PF down 0.54 z; STL down 0.51 z,Archetype changed; biggest standardized shifts: TOV up 1.24 z; BLK down 0.72 z; AST up 0.58 z; PF down 0.54 z; STL down 0.51 z
Kelly Oubre Jr.,Defensive Rim Protectors,Low-Usage Role Players,TRUE,1,4,PF down 1.38 z; STL down 0.86 z; 2PA down 0.84 z; 2P down 0.80 z; ORB down 0.80 z,Archetype changed; biggest standardized shifts: PF down 1.38 z; STL down 0.86 z; 2PA down 0.84 z; 2P down 0.80 z; ORB down 0.80 z
Kevin Durant,Versatile Two-Way Forwards,Primary Shot Creators,TRUE,6,7,TOV up 1.03 z; FT up 0.98 z; PF up 0.92 z; FG up 0.87 z; FGA up 0.86 z,Archetype changed; biggest standardized shifts: TOV up 1.03 z; FT up 0.98 z; PF up 0.92 z; FG up 0.87 z; FGA up 0.86 z
Kyle Kuzma,Perimeter Shooters and Secondary Guards,Low-Usage Role Players,TRUE,2,4,FGA down 0.55 z; TOV down 0.50 z; STL up 0.48 z; DRB down 0.47 z; 3PA down 0.44 z,Archetype changed; biggest standardized shifts: FGA down 0.55 z; TOV down 0.50 z; STL up 0.48 z; DRB down 0.47 z; 3PA down 0.44 z
LaMelo Ball,Perimeter Shooters and Secondary Guards,Primary Shot Creators,TRUE,2,7,3P up 1.50 z; 3PA up 1.33 z; STL up 1.27 z; AST up 1.14 z; PF up 0.94 z,Archetype changed; biggest standardized shifts: 3P up 1.50 z; 3PA up 1.33 z; STL up 1.27 z; AST up 1.14 z; PF up 0.94 z
Lauri Markkanen,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,2P up 0.83 z; 2PA up 0.79 z; FT up 0.74 z; FTA up 0.66 z; FG up 0.59 z,Archetype changed; biggest standardized shifts: 2P up 0.83 z; 2PA up 0.79 z; FT up 0.74 z; FTA up 0.66 z; FG up 0.59 z
LeBron James,Primary Shot Creators,Versatile Two-Way Forwards,TRUE,7,6,Trp-Dbl down 3.24 z; TOV down 1.39 z; FG down 1.22 z; FGA down 1.22 z; DRB down 1.16 z,Archetype changed; biggest standardized shifts: Trp-Dbl down 3.24 z; TOV down 1.39 z; FG down 1.22 z; FGA down 1.22 z; DRB down 1.16 z
Michael Porter Jr.,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,ORB down 1.19 z; PF down 1.07 z; TRB down 0.96 z; DRB down 0.81 z; BLK down 0.74 z,Archetype changed; biggest standardized shifts: ORB down 1.19 z; PF down 1.07 z; TRB down 0.96 z; DRB down 0.81 z; BLK down 0.74 z
Mikal Bridges,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,STL up 1.24 z; PF up 0.93 z; TOV down 0.87 z; 2P down 0.81 z; FG down 0.80 z,Archetype changed; biggest standardized shifts: STL up 1.24 z; PF up 0.93 z; TOV down 0.87 z; 2P down 0.81 z; FG down 0.80 z
Naji Marshall,Low-Usage Role Players,Versatile Two-Way Forwards,TRUE,4,6,FTA up 1.14 z; FT up 0.95 z; PF up 0.79 z; 2PA up 0.49 z; STL up 0.45 z,Archetype changed; biggest standardized shifts: FTA up 1.14 z; FT up 0.95 z; PF up 0.79 z; 2PA up 0.49 z; STL up 0.45 z
